WeatherGood			
WeatherBad	Rain, rain go away. Come again another day. #drowning		
TemperatureGood	It's getting hot in here, so take off all your leaves. @nelly_mo		
TemperatureBad			
HumidityGood	It's like a Finnish sauna in here #humidity #offdachartz		
HumidityBad			
TiltGood			
TiltBad	Tiltin' like a mofo #toomuchswag #leanlikeacholo		
MoistureGood			
MoistureBad			
LightGood	You are my sunshine, my only sunshine!	Here comes the sun! #doodadoodoo @thebeatles	Sun, sun, sun, here it comes! @thebeatles
LightBad	Darkness, imprisoning me. All that I see, absolute horror. #one @metallica		
SoundGood			
SoundBad			
MiscGood			
MiscBad			
